unit_tax_list_id,unit_symbol_tax,unit_name_tax
1,QTR,Per quarter
2,KPP,KPP-Kilogram of phosphoric anhydride
3,KSD,KSD-Kilogram of substance 90 % dry
4,KSH,KSH-Kilogram of caustic soda
5,KUR,KUR-Kilogram of uranium
6,LBR,"LBR-Pound gb, us (0,45359237 kg)"
7,LBT,"LBT-Troy pound, us (373,242 g)"
8,LEF,LEF-Leaf
9,LPA,LPA-Litre of pure alcohol
10,LTN,"LTN-Long ton gb, us (1,0160469 t)"
11,LTR,LTR-Litre (1 dm3)
12,MAL,MAL-Megalitre
13,MAM,MAM-Megametre
14,MBF,"MBF-Thousand board feet (2,36 m3)"
15,MGM,MGM-Milligram
16,MIL,MIL-Thousand
17,MTK,MTK-Square metre
18,MTQ,MTQ-Cubic metre
19,MTR,MTR-Metre
20,NAR,NAR-Number of articles
21,NBB,NBB-Number of bobbins
22,NIU,NIU-Number of international units
23,NMB,NMB-Number
24,NMP,NMP-Number of packs
25,NPL,NPL-Number of parcels
26,NPR,NPR-Number of pairs
27,NPT,NPT-Number of parts
28,NRL,NRL-Number of rolls
29,NTT,NTT-Net [register] ton
30,ONZ,"ONZ-Ounce gb, us (28,349523 g)"
31,OZA,"OZA-Fluid ounce (29,5735 cm3)"
32,OZI,"OZI-Fluid ounce (28,4l3 cm3)"
33,PCE,PCE-Piece
34,PGL,PGL-Proof gallon
35,PTD,"PTD-Dry pint (0,55061 dm3)"
36,PTI,"PTI-Pint (0,568262 dm3)"
37,PTL,"PTL-Liquid pint (0,473l76 dm3)"
38,QTD,"QTD-Dry quart (1,101221 dm3)"
39,QTI,"QTI-Quart (1,136523 dm3)"
40,QTL,"QTL-Liquid quart (0,946353 dm3)"
41,QTR,"QTR-Quarter, gb (12,700586 kg)"
42,SET,SET-Set
43,SHT,SHT-Shipping ton
44,STI,"STI-Stone gb (6,350293 kg)"
45,STN,"STN-Short ton gb, us (0,90718474 t)"
46,TNE,TNE-Metric ton (1000 kg)
47,TPR,TPR-Ten pairs
48,TSD,TSD-Tonne of substance 90 per cent dry
49,WCD,"WCD-Cord (3,63 m3)"
50,YDK,YDK-Square yard
51,YDQ,YDQ-Cubic yard
52,YRD,"YRD-Yard (0,9144 m)"
53,APZ,"APZ-Ounce gb, us (31,10348 g)"
54,ASM,ASM-Alcoholic strength by mass
55,ASV,ASV-Alcoholic strength by volume
56,BFT,BFT-Board foot
57,KGM,KGM-Kilogram
58,KNI,KNI-Kilogram of nitrogen
59,KNS,KNS-Kilogram of named substance
60,KPH,KPH-Kilogram of caustic potash
61,KPO,KPO-Kilogram of potassium oxide
62,AGE,AGE-YEAR OF MANUFACTURE
63,CCP,CCP-ENGINE CAPACITY(c.c)
64,BHX,BHX-Hundred boxes
65,BLD,"BLD-Dry barrel (115,627 dm3)"
66,BLL,"BLL-Barrel (petroleum) (158,987 dm3)"
67,BUA,"BUA-Bushel (35,2391 dm3)"
68,BUI,"BUI-Bushel (36,36874 dm3)"
69,CEN,CEN-Hundred
70,CGM,CGM-Centigram
71,CLF,CLF-Hundred leaves
72,VEH,VEH-Vehicle
73,CLT,CLT-Centilitre
74,CMK,CMK-Square centimetre
75,CMQ,CMQ-Cubic centimetre
76,CMT,CMT-Centimetre
77,CNP,CNP-Hundred packs
78,CNT,"CNT-Cental gb (45,359237 kg)"
79,CTM,CTM-Metric carat (200 mg = 2.10-4 kg)
80,CWA,"CWA-Hundredweight us (45,3592 kg)"
81,CWI,"CWI-Hundredweight gb (50,802345 kg)"
82,DLT,DLT-Decilitre
83,DMK,DMK-Square decimetre
84,DMQ,DMQ-Cubic decimetre
85,DMT,DMT-Decimetre
86,DPC,DPC-Dozen pieces
87,DPR,DPR-Dozen pairs
88,DRA,"DRA-Dram us (3,887935 g)"
89,DRI,"DRI-Dram gb (l,771745 g)"
90,DRL,DRL-Dozen rolls
91,DRM,"DRM-Drachm gb (3,887935 g)"
92,DTH,DTH-Hectokilogram
93,DTN,"DTN-Centner, metric (100 kg)"
94,DWT,"DWT-Pennyweight gb, us (1,555174 g)"
95,DZN,DZN-Dozen
96,DZP,DZP-Dozen packs
97,FOT,"FOT-Foot (0,3048 m)"
98,FTK,FTK-Square foot
99,FTQ,FTQ-Cubic foot
100,GGR,GGR-Great gross (12 gross)
101,GIA,"GIA-Gill (11,8294 cm3)"
102,GII,"GII-Gill (0,142065 dm3)"
103,GLD,"GLD-Dry gallon (4,404884 dm3)"
104,GLI,"GLI-Gallon (4,546092 dm3)"
105,GLL,"GLL-Liquid gallon (3,7854l dm3)"
106,GRM,GRM-Gram
107,GRN,"GRN-Grain gb, us (64,798910 mg)"
108,GRO,GRO-Gross
109,GRT,GRT-Gross [register] ton
110,HGM,HGM-Hectogram
111,HIU,HIU-Hundred international units
112,HLT,HLT-Hectolitre
113,HPA,HPA-Hectolitre of pure alcohol
114,INH,"INH-Inch (25,4 mm)"
115,INK,INK-Square inch
116,INQ,INQ-Cubic inch
117,118,1USD
118,117,1UGX
119,115,Per month
120,114,Per week
121,116,Per annum
122,113,Dozen
123,112,Yard
124,111,Pair
125,110,Box
126,200,Metre
127,TY,"TY-Tank, cylindrical"
128,TZ,"TZ-Tubes, in bundle/bunch/truss"
129,UC,UC-Uncaged
130,UN,UN-Unit
131,VA,VA-Vat
132,VEH,VEH-Vehicle
133,VG,VG-Bulk
134,VI,VI-Vial
135,VK,VK-Vanpack
136,VL,"VL-Bulk, liquid"
137,VN,VN-Vehicle
138,VO,"VO-Bulk,solid,large particles(nodules)"
139,VP,VP-Vacuum-packed
140,VQ,"VQ-Bulk,liquefied gas(abnormal temp/pr"
141,VR,"VR-Bulk, solid, granular particles"
142,VS,VS-Bulk
143,VY,"VY-Bulk, solid, fine particles(powder)"
144,WA,WA-Intermediate bulk container
145,WB,WB-Wickerbottle
146,WC,"WC-Intermediate bulk container,steel"
147,WD,"WD-Intermediate bulk container,alumini"
148,WF,"WF-Intermediate bulk container,metal"
149,WG,"WG-Intermediate bulk cont,steel,pressu"
150,WH,"WH-Inter bulk container,alumin,pressur"
151,WJ,"WJ-Inter bulk container,metal,pressure"
152,WK,"WK-Interme bulk container,steel,liquid"
153,WL,"WL-Inter bulk container,alumin liquid"
154,WM,"WM-Interm bulk container,metal,liquid"
155,WN,"WN-Int bulk cont,woven plastic,no coat"
156,WP,"WP-Inter bulk cont,woven plastic,coate"
157,WQ,"WQ-Inter bulk cont,woven plastic,liner"
158,WR,"WR-Inter bulk cont,woven plastic,coate"
159,WS,"WS-Interm bulk container, plastic film"
160,WT,"WT-Inter bulk cont,textile no coat/lin"
161,WU,"WU-Inter bulk cont,natural wood,liner"
162,WV,"WV-Inter bulk contain, textile, coated"
163,WW,"WW-Inter bulk conta,textile,with liner"
164,WX,"WX-Inter bulk cont,textile,coated/line"
165,WY,"WY-Inter bulk cont,plywood,inner liner"
166,WZ,"WZ-Interm bulk conta,reconsituted wood"
167,XA,"XA-Bag,woven plastic,without inner coa"
168,XB,"XB-Bag,woven plastic, sift proof"
169,XC,"XC-Bag, woven plastic, water resistant"
170,XD,"XD-Bag, plastics film"
171,XF,"XF-Bag, textile,without inner coat/lin"
172,XG,"XG-Bag, textile, sift proof"
173,XH,"XH-Bag, textile, water resistant"
174,XJ,"XJ-Bag, paper, multi-wall"
175,XK,"XK-Bag,paper,multi-wall,water resistan"
176,XX,XX-SCT UN-IDENTIFIED
